Rank,Country (or dependent territory),Population,Date,"% of worldpopulation",Source
223,* «_land Islands* (Finland),28875,9/30/14,0.00%,Official estimate
210,* American Samoa* (USA),55519,4/1/10,0.00%,Final 2010 census result
227,* Anguilla* (UK),13452,5/11/11,0.00%,Preliminary 2011 census result
198,* Aruba* (Netherlands),101484,9/29/10,0.00%,2010 census result
206,* Bermuda* (UK),64237,5/20/10,0.00%,Final 2010 census result
222,* British Virgin Islands* (UK),29537,7/1/10,0.00%,Annual official estimate
224,* Caribbean Netherlands* (Netherlands),23296,1/1/13,0.00%,Official estimate
211,* Cayman Islands* (UK),55456,10/10/10,0.00%,Final 2010 census result
238,* Christmas Island* (Australia),2072,8/9/11,0.00%,2011 census result
242,* Cocos (Keeling) Islands* (Australia),550,8/9/11,0.00%,2011 census result
226,* Cook Islands* (NZ),14974,12/1/11,0.00%,Final 2011 census result
192,* Cura«ıao* (Netherlands),150563,3/26/11,0.00%,2011 census result
235,* Falkland Islands* (UK),3000,7/1/14,0.00%,UN projection
214,* Faroe Islands* (Denmark),48723,8/1/14,0.00%,Monthly official estimate
183,* French Polynesia* (France),268270,8/22/12,0.00%,Preliminary 2012 census result
221,* Gibraltar* (UK),30001,12/31/12,0.00%,Annual official estimate
175,* Guadeloupe* (France),405739,1/1/13,0.01%,Official annual estimate
191,* Guam* (USA),159358,4/1/10,0.00%,Final 2010 census result
207,* Guernsey* (UK),63085,3/31/12,0.00%,Annual official estimate
101,* Hong Kong* (China),7234800,7/1/14,0.10%,Official estimate
203,* Isle of Man* (UK),84497,3/27/11,0.00%,2011 census result
200,* Jersey* (UK),99000,12/31/12,0.00%,Annual official estimate
168,* Macau* (China),614500,3/31/14,0.01%,Official quaterly estimate
177,* Martinique* (France),386486,1/1/13,0.01%,Official annual estimate
187,* Mayotte* (France),212645,8/21/12,0.00%,2012 census result
233,* Montserrat* (UK),4922,5/12/11,0.00%,2011 census result
185,* New Caledonia* (France),258958,7/1/13,0.00%,Annual official estimate
239,* Niue* (NZ),1613,9/10/11,0.00%,Final 2011 census result
237,* Norfolk Island* (Australia),2302,8/9/11,0.00%,2011 census result
213,* Northern Mariana Islands* (USA),53883,4/1/10,0.00%,Final 2010 census result
123,* Palestine*,4550368,7/1/14,0.06%,Official estimate
243,* Pitcairn Islands* (UK),56,2013,0.00%,Official estimate
132,* Puerto Rico* (USA),3615086,7/1/13,0.05%,Official estimate
163,* R«∏union* (France),840974,1/1/13,0.01%,Official annual estimate
231,* Saint Barth«∏lemy* (France),8938,1/1/10,0.00%,Official estimate
234,"* Saint Helena, Ascension and Tristan da Cunha* (UK)",4000,7/1/14,0.00%,UN projection
217,* Saint Martin* (France),36979,1/1/10,0.00%,Official estimate
232,* Saint Pierre and Miquelon* (France),6081,1/1/10,0.00%,Official estimate
215,* Sint Maarten* (Netherlands),37429,1/1/10,0.00%,Official estimate
236,* Svalbard and Jan Mayen* (Norway),2655,9/1/12,0.00%,Official estimate
240,* Tokelau* (NZ),1411,10/18/11,0.00%,Final 2011 census result
220,* Turks and Caicos Islands* (UK),31458,1/25/12,0.00%,2012 census result
195,* United States Virgin Islands* (USA),106405,4/1/10,0.00%,Final 2010 census result
228,* Wallis and Futuna* (France),13135,7/1/13,0.00%,Annual official estimate
,Abkhazia,240705,2011,0.00%,Official census
47,Afghanistan,26023100,7/1/13,0.36%,Official estimate
140,Albania,2895947,1/1/14,0.04%,Annual official estimate
33,Algeria,38700000,1/1/14,0.54%,Official estimate
204,Andorra,76098,7/1/13,0.00%,Annual official estimate
51,Angola,24383301,5/16/14,0.34%,Preliminary 2014 census result
202,Antigua and Barbuda,86295,5/27/11,0.00%,Preliminary 2011 census result
31,Argentina,42669500,7/1/14,0.59%,Official annual projection
137,Armenia,3009800,6/30/14,0.04%,Monthly official estimate
52,Australia,23640800,10/24/14,0.33%,Official population clock
95,Austria,8527230,4/1/14,0.12%,Official quarterly estimate
90,Azerbaijan,9540400,8/1/14,0.13%,Official estimate
178,Bahamas,368390,7/1/13,0.01%,Annual official estimate
155,Bahrain,1316500,7/1/14,0.02%,Official annual projection
8,Bangladesh,157193000,10/24/14,2.18%,Official population clock
182,Barbados,285000,7/1/13,0.00%,Official estimate
92,Belarus,9469200,7/1/14,0.13%,Quarterly official estimate
75,Belgium,11215442,9/1/14,0.16%,Monthly official estimate
179,Belize,349728,7/1/13,0.00%,Official estimate
87,Benin,9988068,7/1/14,0.14%,Official annual projection
166,Bhutan,753160,10/24/14,0.01%,Official population clock
86,"Bolivia, Plurinational State of",10027254,11/21/12,0.14%,2012 census result
130,Bosnia and Herzegovina,3791622,10/15/13,0.05%,Preliminary 2013 census result
147,Botswana,2024904,8/22/11,0.03%,Final 2011 census result
5,Brazil,203337000,10/24/14,2.83%,Official population clock
176,Brunei,393372,6/20/11,0.01%,Preliminary 2011 census result
100,Bulgaria,7245677,12/31/13,0.10%,Official estimate
